Sort,Boost Level,bp ,Skill name,Description,CostValue,CostType,AbilityType,TargetType,Total Multipler,Multiplier 1,Multipler 2,Multipler 3,Modifier 1,Modifier 2,Modifier 3,AbilityRatio,CriticalRatio,CriticalPower,HitRatio,Comment,AilmentName,InvocationValue,InvocationTurn,DiseaseRate,AilmentName,InvocationValue,InvocationTurn,DiseaseRate,AilmentName,InvocationValue,InvocationTurn,DiseaseRate,Attribute,DependWeapon,RestrictWeapon,ExceptEnforcer,BaseCount,MinimumCount,RandomCountMin,RandomCountMax,OrderType,OrderCount,ItemAll,SkillAll,Convergence,Diffusion,Reflection,Counter,HideOut,Repeat,Cover,Provoke,DisableMagic,Enchant,ChaseAttack,WeakCheckAll,NormalAttackAll,Session,BusinessSupport,ForceWeakness,NoUseMaterial,SwitchWeapon,CompensationMagic,Excitement,SongAbilityFlag,DanceAbilityFlag,AutoTameMonster
29,1,0,Eye for an Eye,This is the Warrior Counter,0,COUNTER,PHYSICS,ENEMY_SINGLE,3,,3,,,0.5,,150,0,125,20,,SP_DAMAGE_CHASE,1,0,0,PHYSICS_DAMAGE,200,0,0,,0,0,0,,Y,SWORD,,0,0,0,0,,0,,,,,,,Y,Y,,Y,Y,,Y,,,Y,,,Y,,,,,,
562,1,0,Changeable Catapult,Unleash an attack on all foes with a selected weapon.,0,INVENTOR,PHYSICS,ENEMY_ALL,,,,,,,,100,0,125,0,,PC_ABI_INV_CATAPULT_SWORD,0,0,0,PC_ABI_INV_CATAPULT_LANCE,0,0,0,PC_ABI_INV_CATAPULT_DAGGER,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,Y,,,,,,Y,,Y,,,,,Y
563,2,1,Changeable Catapult,Unleash an attack on all foes with a selected weapon.,0,INVENTOR,PHYSICS,ENEMY_ALL,,,,,,,,100,0,125,0,,PC_ABI_INV_CATAPULT_SWORD,0,0,0,PC_ABI_INV_CATAPULT_LANCE,0,0,0,PC_ABI_INV_CATAPULT_DAGGER,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,Y,,,,,,Y,,Y,,,,,Y
564,3,2,Changeable Catapult,Unleash an attack on all foes with a selected weapon.,0,INVENTOR,PHYSICS,ENEMY_ALL,,,,,,,,100,0,125,0,,PC_ABI_INV_CATAPULT_SWORD,0,0,0,PC_ABI_INV_CATAPULT_LANCE,0,0,0,PC_ABI_INV_CATAPULT_DAGGER,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,Y,,,,,,Y,,Y,,,,,Y
565,4,3,Changeable Catapult,Unleash an attack on all foes with a selected weapon.,0,INVENTOR,PHYSICS,ENEMY_ALL,,,,,,,,100,0,125,0,,PC_ABI_INV_CATAPULT_SWORD,0,0,0,PC_ABI_INV_CATAPULT_LANCE,0,0,0,PC_ABI_INV_CATAPULT_DAGGER,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,Y,,,,,,Y,,Y,,,,,Y
566,1,0,Springy Boots,Cause a single ally to act first for 5 turns.,0,INVENTOR,BUFF,PARTY_SINGLE,,,,,,,,100,0,125,0,,ADD_BE_THE_FIRST,0,5,0,,0,0,0,,0,0,0,,,,,0,0,0,0,TOP,0,,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,
567,2,1,Springy Boots,Cause a single ally to act first for 6 turns.,0,INVENTOR,BUFF,PARTY_SINGLE,,,,,,,,100,0,125,0,,ADD_BE_THE_FIRST,0,6,0,,0,0,0,,0,0,0,,,,,0,0,0,0,TOP,0,,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,
568,3,2,Springy Boots,Cause a single ally to act first for 7 turns.,0,INVENTOR,BUFF,PARTY_SINGLE,,,,,,,,100,0,125,0,,ADD_BE_THE_FIRST,0,7,0,,0,0,0,,0,0,0,,,,,0,0,0,0,TOP,0,,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,
569,4,3,Springy Boots,Cause a single ally to act first for 8 turns.,0,INVENTOR,BUFF,PARTY_SINGLE,,,,,,,,100,0,125,0,,ADD_BE_THE_FIRST,0,8,0,,0,0,0,,0,0,0,,,,,0,0,0,0,TOP,0,,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,
570,1,0,Critical Scope,Turn all damage dealt to a single foe into critical damage for 4 turns.,0,INVENTOR,DEBUFF,ENEMY_SINGLE,,,,,,,,100,0,125,0,,ADD_FORCE_CRITICAL,0,4,0,,0,0,0,,0,0,0,,,,,0,0,0,0,,0,,Y,,,,,,Y,,,,,Y,,,,,,,,,,,,
571,2,1,Critical Scope,Turn all damage dealt to a single foe into critical damage for 5 turns.,0,INVENTOR,DEBUFF,ENEMY_SINGLE,,,,,,,,100,0,125,0,,ADD_FORCE_CRITICAL,0,5,0,,0,0,0,,0,0,0,,,,,0,0,0,0,,0,,Y,,,,,,Y,,,,,Y,,,,,,,,,,,,
572,3,2,Critical Scope,Turn all damage dealt to a single foe into critical damage for 6 turns.,0,INVENTOR,DEBUFF,ENEMY_SINGLE,,,,,,,,100,0,125,0,,ADD_FORCE_CRITICAL,0,6,0,,0,0,0,,0,0,0,,,,,0,0,0,0,,0,,Y,,,,,,Y,,,,,Y,,,,,,,,,,,,
573,4,3,Critical Scope,Turn all damage dealt to a single foe into critical damage for 7 turns.,0,INVENTOR,DEBUFF,ENEMY_SINGLE,,,,,,,,100,0,125,0,,ADD_FORCE_CRITICAL,0,7,0,,0,0,0,,0,0,0,,,,,0,0,0,0,,0,,Y,,,,,,Y,,,,,Y,,,,,,,,,,,,
574,1,0,Elemental Bomb Bottle,Deal the same type of damage as a single foe's exposed elemental weak points 1 time.,0,INVENTOR,MAGIC,ENEMY_SINGLE,0.55,0.55,,,1.82,,,100,0,125,0,,MAGIC_DAMAGE,55,0,0,,0,0,0,,0,0,0,,,,,1,0,0,0,,0,,Y,,,Y,,,Y,,,,,,,,,,Y,,,,,,,Y
575,2,1,Elemental Bomb Bottle,Deal the same type of damage as a single foe's exposed elemental weak points 2 times.,0,INVENTOR,MAGIC,ENEMY_SINGLE,1.1,0.55,,,1.82,,,100,0,125,0,,MAGIC_DAMAGE,55,0,0,,0,0,0,,0,0,0,,,,,2,0,0,0,,0,,Y,,,Y,,,Y,,,,,,,,,,Y,,,,,,,Y
576,3,2,Elemental Bomb Bottle,Deal the same type of damage as a single foe's exposed elemental weak points 3 times.,0,INVENTOR,MAGIC,ENEMY_SINGLE,1.65,0.55,,,1.82,,,100,0,125,0,,MAGIC_DAMAGE,55,0,0,,0,0,0,,0,0,0,,,,,3,0,0,0,,0,,Y,,,Y,,,Y,,,,,,,,,,Y,,,,,,,Y
577,4,3,Elemental Bomb Bottle,Deal the same type of damage as a single foe's exposed elemental weak points 4 times.,0,INVENTOR,MAGIC,ENEMY_SINGLE,2.2,0.55,,,1.82,,,100,0,125,0,,MAGIC_DAMAGE,55,0,0,,0,0,0,,0,0,0,,,,,4,0,0,0,,0,,Y,,,Y,,,Y,,,,,,,,,,Y,,,,,,,Y
578,1,0,Tin Horn,Fill the latent power gauge of all allies.,0,INVENTOR,OTHER,PARTY_ALL,,,,,,,,100,0,125,0,,RECOVERY_POTENTIALITY_ACTION,40,0,0,,0,0,0,,0,0,0,,,,,0,0,0,0,,0,,,,,,,,Y,,,,,,,,,,,,,,,,,
579,2,1,Tin Horn,Fill the latent power gauge of all allies.,0,INVENTOR,OTHER,PARTY_ALL,,,,,,,,100,0,125,0,,RECOVERY_POTENTIALITY_ACTION,60,0,0,,0,0,0,,0,0,0,,,,,0,0,0,0,,0,,,,,,,,Y,,,,,,,,,,,,,,,,,
580,3,2,Tin Horn,Fill the latent power gauge of all allies.,0,INVENTOR,OTHER,PARTY_ALL,,,,,,,,100,0,125,0,,RECOVERY_POTENTIALITY_ACTION,80,0,0,,0,0,0,,0,0,0,,,,,0,0,0,0,,0,,,,,,,,Y,,,,,,,,,,,,,,,,,
581,4,3,Tin Horn,Fill the latent power gauge of all allies.,0,INVENTOR,OTHER,PARTY_ALL,,,,,,,,100,0,125,0,,RECOVERY_POTENTIALITY_ACTION,100,0,0,,0,0,0,,0,0,0,,,,,0,0,0,0,,0,,,,,,,,Y,,,,,,,,,,,,,,,,,
582,1,0,Hastening Hammer,"Unleash a highly powerful physical attack on a single foe, and reduce the crafting time of an invention by 1 turn.",0,INVENTOR,PHYSICS,ENEMY_SINGLE,2.6,2.6,,,0.5,,,130,0,125,0,,PHYSICS_DAMAGE,200,0,0,ACCEL_INVENTOR_ITEM_RANDOM,1,0,0,,0,0,0,,,,,0,0,0,0,,0,,Y,,,,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,,Y
583,2,1,Hastening Hammer,"Unleash a highly powerful physical attack on a single foe, and reduce the crafting time of an invention by 1 turn.",0,INVENTOR,PHYSICS,ENEMY_SINGLE,5.2,5.2,,,0.5,,,260,0,125,0,,PHYSICS_DAMAGE,200,0,0,ACCEL_INVENTOR_ITEM_RANDOM,1,0,0,,0,0,0,,,,,0,0,0,0,,0,,Y,,,,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,,Y
