Job,combat/support,# unlocked ,Skill/ability Name,SP,Description
Warrior,,1,Agressive Slash,9,Unleash a sword attack on random foes (3/4/5/6) times.
Warrior,,2,Piercing Thrust,12,"Unleash a powerful polearm attack on a single foe, and have a (25/50/75/100%) chance to deal a critical hit."
Warrior,,3,Abide,4,Raise your physical attack for (3/5/7/9) turns.
Warrior,,4,Enervating Slash,7,"Nullify all positive status effects on a single foe, then unleash a sword attack. The more status effects you nullify, the more potent the attack.
(This skill is mistranslated: it removes the warrior's buffs to boost damage from the attack)"
Warrior,,5,Stout Wall,4,Raise your physical defence for (3/5/7/9) turns.
Warrior,,6,Incite,4,Draw foes' single-target attacks to yourself for 3 turns.
Warrior,,7,Vengeful Blade,6,Grant yourself the ability to counter physical damage with a sword attack (2/3/4/5) times. The counterattack reduces the enemy's Shield Points regardless of their weak points.
Warrior,,8,Brand's Blade,30,Unleash an extraordinarily powerful sword attack on a single foe. 
Warrior,Support,1,Bolstering Break,,Raises the equipping character's physical attack when breaking an enemy. [Grants PATK Up buff after breaking for 2 turns]
Warrior,Support,2,Summon Strength,,Increases the physical strength of the equipping character by 50.
Warrior,Support,3,Latent Power Plus,,Raises the amount of latent power gained by the equipping character.
Warrior,Support,4,Deal More Damage,,"Increases the maximum damage that can be dealt by the equipping character to 99,999."
Dancer,,1,Lion Dance,4,Raise the physical attack of a single ally for (2/4/6/8) turns.
Dancer,,2,Ruinous Kick,10,"Unleash a powerful physical attack on a single foe, and reduce their Shield Points regardless of their weak points."
Dancer,,3,Peacock Strut,4,Raise the elemental attack of a single ally for (2/4/6/8) turns.
Dancer,,4,Sweeping Gale,7,Deal wind-based damage to a single foe.
Dancer,,5,Stimulate,5,Move a single ally's next action up (1/2/3/act first) spot.
Dancer,,6,Dagger Dance,9,Unleash a dagger attack on all foes
Dancer,,7,Bewildering Grace,25,"Cause a curious effect to occur (1/2/3/4) time. The effects can be positive or negative, each BP used triggers an additonal effect."
Dancer,,8,Sealticge's Seduction,30,Extend the reach of a single ally's skills to all for 3 turns. This does not affect divine skills or skills that only affect the user.
Dancer,Support,1,The Show Goes On,,Extends the duration of augmenting effects granted by the equipping character by 1 turn
Dancer,Support,2,Ever Evasive,,Enables the equipping character to more easily evade enemy attacks
Dancer,Support,3,Hard Worker,,Receive additional JP after battles. (Equipping multiple characters with this skill will have no added effect.)
Dancer,Support,4,Invigorate and Inspire,,Slightly fills the target's latent power gauge when the equipping character grants them an augmented effect
Merchant,,1,Arrow of Fortune,12,"Unleash a powerful bow attack on a single foe and receive JP. The more damage you deal, the more JP you receive."
Merchant,,2,Rest,0,"Restore one's own HP and SP, and cure status ailments."
Merchant,,3,Collect,2,Collect money from a single foe.
Merchant,,4,Ember,7,Deal fire-based damage to a single foe.
Merchant,,5,Donate BP,6,Grant (1/2/3/4) BP to a single ally.
Merchant,,6,Sidestep,10,Dodge (1/2/3/4) physical attack/s with a 100% success rate.
Merchant,,7,Hired Help,0,"Pay money to summon hired help to the battlefield.
Mercenary ($150) - Unleash a sword attack on all foes, and raise the physical defense of all allies.
Ruffian ($800) - Reduce the physical attack and physical defense of all foes.
Thespian ($2000) - Raise the elemental attack of all allies, and restore their SP.
Guard ($7000) - Unleash a staff attack on all foes, and delay their actions.
Beastling ($15000) - Unleash a physical attack on all foes, and reduce their Shield Points regardless of their weak points.
Veteran Soldier ($30000) - Unleash a powerful attack on all foes with various weapons.
Foreign Assassin ($50000) - Unleash a powerful dagger attack on all foes, and restore HP and SP to all allies. (Unlock: Beat foreign assassin in Western Merry Hills Pass, Crestlands)"
Merchant,,8,Bifelgan's Bounty,30,Unleash a non-elemental attack on a single foe and receive leaf coin (money) equivalent to the damage dealt.
Merchant,Support,1,Grows on Trees,,Receive additional [10%] money after battles. (Equipping multiple characters with this skill will have no added effect.)
Merchant,Support,2,Boost-Start,,Grants the equipping character 1 BP at the start of battle.
Merchant,Support,3,Hang Tough,,"When the equipping character is not near death, otherwise lethal attacks will instead leave them with 1 HP."
Merchant,Support,4,Full Power,,Completely fills the equipping character's latent power gauge at the start of battle.
Scholar,,1,"Fireball / Fire Storm / Ignis Ardere
(Tier 1/ Tier II / Tier III)",14,"Tier I (Normal): Deal fire-based damage to all foes.
Tier II (Advanced Magic): Deal fire-based damage to all foes 2 times.
Tier III (Alephan's Wisdom): Deal fire-based damage to all foes 3 times."
Scholar,,2,"Icewind / Blizzard / Glacies Claudere
(Tier 1/ Tier II / Tier III)",14,"Tier I (Normal): Deal ice-based damage to all foes.
Tier II (Advanced Magic): Deal ice-based damage to all foes 2 times.
Tier III (Alephan's Wisdom): Deal ice-based damage to all foes 3 times."
Scholar,,3,"Lightning Bolt / Lightning Blast / Tonitrus Canere
(Tier 1/ Tier II / Tier III)",14,"Tier I (Normal): Deal lightning-based damage to all foes.
Tier II (Advanced Magic): Deal lightning-based damage to all foes 2 times.
Tier III (Alephan's Wisdom): Deal lightning-based damage to all foes 3 times."
Scholar,,4,Analyze,1,Reveal the HP and (1/2/3/5) weak point of a single foe
Scholar,,5,Stroke of Genius,5,Grant yourself (2/3/4/5) attribute-raising effects at random (Effects will stack)
Scholar,,6,Elemental Barrage,10,"Deal either fire-, ice-, or lightning-based damage to random foes (3-5 / 4-6 / 5-7 / 6-8) times."
Scholar,,7,Advanced Magic,15,Boosts the intensity of a single ally's spells 2 times (Default Tier 1 AOE spell becomes Tier 2 spell.)
